,GameID,Date,Team,Opponent,TeamGoals,OpponentGoals,Result,TeamShots,OpponentShots,TeamShotsonTarget,OpponentShotsonTarget,TeamFouls,OpponentFouls,TeamCorners,OpponentCorners,TeamYellowCards,OpponentYellowCards,TeamRedCards,OpponentRedCards,O2.5,U2.5,TeamWinOdds,DrawOdds,OpponentWinOdds,Venue,TeamELO,OpponentELO,ELODif
36,18,2000-08-23,West Ham,Leicester,0,1,L,17,4,12,2,16,14,11,5,3,3,1,0,,,,,,Home,1676.32995605,1686.75097656,-10.421020510000062
37,18,2000-08-23,Leicester,West Ham,1,0,W,4,17,2,12,14,16,5,11,3,3,0,1,,,,,,Away,1686.75097656,1676.32995605,10.421020510000062
38,19,2000-08-26,Coventry,Man City,2,1,W,9,14,8,5,12,7,5,5,3,2,0,0,,,,,,Away,1636.69580078,1586.19299316,50.502807619999885
39,19,2000-08-26,Man City,Coventry,1,2,L,14,9,5,8,7,12,5,5,2,3,0,0,,,,,,Home,1586.19299316,1636.69580078,-50.502807619999885
40,20,2000-08-26,Leeds,Middlesbrough,2,1,W,16,15,11,8,20,12,8,4,0,2,0,0,,,,,,Away,1799.69482422,1692.48596191,107.20886231000009
41,20,2000-08-26,Middlesbrough,Leeds,1,2,L,15,16,8,11,12,20,4,8,2,0,0,0,,,,,,Home,1692.48596191,1799.69482422,-107.20886231000009
42,21,2000-08-26,Newcastle,Tottenham,2,0,W,15,10,6,2,13,10,4,2,0,0,0,0,,,,,,Home,1716.9543457,1690.01574707,26.938598629999888
43,21,2000-08-26,Tottenham,Newcastle,0,2,L,10,15,2,6,10,13,2,4,0,0,0,0,,,,,,Away,1690.01574707,1716.9543457,-26.938598629999888
44,22,2000-08-26,Liverpool,Southampton,3,3,D,9,14,4,7,6,7,1,7,0,0,0,0,,,,,,Away,1770.30957031,1625.63342285,144.67614746000004
45,22,2000-08-26,Southampton,Liverpool,3,3,D,14,9,7,4,7,6,7,1,0,0,0,0,,,,,,Home,1625.63342285,1770.30957031,-144.67614746000004
46,23,2000-08-26,West Ham,Man United,2,2,D,17,8,8,5,12,9,7,5,1,0,0,0,,,,,,Home,1669.92492676,1932.53637695,-262.6114501899999
47,23,2000-08-26,Man United,West Ham,2,2,D,8,17,5,8,9,12,5,7,0,1,0,0,,,,,,Away,1932.53637695,1669.92492676,262.6114501899999
48,24,2000-08-26,Everton,Derby,2,2,D,12,7,9,4,11,9,11,2,2,3,0,0,,,,,,Home,1691.17871094,1632.81518555,58.36352538999995
49,24,2000-08-26,Derby,Everton,2,2,D,7,12,4,9,9,11,2,11,3,2,0,0,,,,,,Away,1632.81518555,1691.17871094,-58.36352538999995
50,25,2000-08-26,Leicester,Bradford,0,0,D,13,8,8,4,12,11,8,6,2,1,0,0,,,,,,Away,1699.90844727,1596.31433105,103.59411621999993
51,25,2000-08-26,Bradford,Leicester,0,0,D,8,13,4,8,11,12,6,8,1,2,0,0,,,,,,Home,1596.31433105,1699.90844727,-103.59411621999993
52,26,2000-08-26,Sunderland,Ipswich,0,1,L,9,14,3,5,12,10,6,7,1,1,0,0,,,,,,Away,1711.82556152,1639.79248047,72.03308104999996
53,26,2000-08-26,Ipswich,Sunderland,1,0,W,14,9,5,3,10,12,7,6,1,1,0,0,,,,,,Home,1639.79248047,1711.82556152,-72.03308104999996
54,27,2000-08-26,Charlton,Arsenal,3,5,L,7,18,4,9,15,12,3,8,1,0,0,0,,,,,,Away,1615.09118652,1870.86413574,-255.77294921999987
55,27,2000-08-26,Arsenal,Charlton,5,3,W,18,7,9,4,12,15,8,3,0,1,0,0,,,,,,Home,1870.86413574,1615.09118652,255.77294921999987
56,28,2000-08-27,Aston Villa,Chelsea,1,1,D,12,11,9,7,13,12,7,10,0,1,0,0,,,,,,Home,1732.72229004,1791.90209961,-59.17980957000009
57,28,2000-08-27,Chelsea,Aston Villa,1,1,D,11,12,7,9,12,13,10,7,1,0,0,0,,,,,,Away,1791.90209961,1732.72229004,59.17980957000009
58,29,2000-09-05,Tottenham,Everton,3,2,W,11,11,7,6,11,10,7,5,1,2,0,0,,,,,,Home,1682.58056641,1687.26904297,-4.688476560000026
59,29,2000-09-05,Everton,Tottenham,2,3,L,11,11,6,7,10,11,5,7,2,1,0,0,,,,,,Away,1687.26904297,1682.58056641,4.688476560000026
60,30,2000-09-05,Man City,Leeds,2,1,W,8,6,3,1,24,18,4,9,2,2,0,0,,,,,,Away,1577.46520996,1807.01086426,-229.54565430000002
61,30,2000-09-05,Leeds,Man City,1,2,L,6,8,1,3,18,24,9,4,2,2,0,0,,,,,,Home,1807.01086426,1577.46520996,229.54565430000002
62,31,2000-09-05,Bradford,Man United,0,6,L,6,21,4,12,10,12,1,5,1,0,0,0,,,,,,Away,1596.84594727,1927.82995605,-330.98400878000007
63,31,2000-09-05,Man United,Bradford,6,0,W,21,6,12,4,12,10,5,1,0,1,0,0,,,,,,Home,1927.82995605,1596.84594727,330.98400878000007
64,32,2000-09-05,West Ham,Sunderland,1,1,D,16,17,9,7,14,19,11,4,3,2,0,0,,,,,,Away,1674.63134766,1704.2064209,-29.575073239999938
65,32,2000-09-05,Sunderland,West Ham,1,1,D,17,16,7,9,19,14,4,11,2,3,0,0,,,,,,Home,1704.2064209,1674.63134766,29.575073239999938
66,33,2000-09-06,Aston Villa,Liverpool,1,3,L,9,11,4,7,7,13,7,8,2,0,0,0,,,,,,Away,1731.95043945,1768.61169434,-36.66125489000001
67,33,2000-09-06,Liverpool,Aston Villa,3,1,W,11,9,7,4,13,7,8,7,0,2,0,0,,,,,,Home,1768.61169434,1731.95043945,36.66125489000001
68,34,2000-09-06,Leicester,Ipswich,2,1,W,12,7,6,3,12,13,6,2,1,1,0,0,,,,,,Home,1699.37695312,1647.41162109,51.96533203000013
69,34,2000-09-06,Ipswich,Leicester,1,2,L,7,12,3,6,13,12,2,6,1,1,0,0,,,,,,Away,1647.41162109,1699.37695312,-51.96533203000013
70,35,2000-09-06,Derby,Middlesbrough,3,3,D,9,5,5,4,8,10,11,5,3,2,0,0,,,,,,Home,1636.72485352,1685.17004395,-48.44519043000014
71,35,2000-09-06,Middlesbrough,Derby,3,3,D,5,9,4,5,10,8,5,11,2,3,0,0,,,,,,Away,1685.17004395,1636.72485352,48.44519043000014
72,36,2000-09-06,Charlton,Southampton,1,1,D,8,11,6,3,14,16,10,14,3,3,1,0,,,,,,Home,1612.78625488,1627.33129883,-14.545043950000036
73,36,2000-09-06,Southampton,Charlton,1,1,D,11,8,3,6,16,14,14,10,3,3,0,1,,,,,,Away,1627.33129883,1612.78625488,14.545043950000036
74,37,2000-09-06,Chelsea,Arsenal,2,2,D,12,13,5,5,16,22,7,6,3,1,0,0,,,,,,Home,1792.6739502,1873.16906738,-80.49511717999985
75,37,2000-09-06,Arsenal,Chelsea,2,2,D,13,12,5,5,22,16,6,7,1,3,0,0,,,,,,Away,1873.16906738,1792.6739502,80.49511717999985
76,38,2000-09-06,Coventry,Newcastle,0,2,L,13,13,3,6,11,18,6,8,1,1,0,0,,,,,,Home,1645.42358398,1724.38952637,-78.96594239000001
77,38,2000-09-06,Newcastle,Coventry,2,0,W,13,13,6,3,18,11,8,6,1,1,0,0,,,,,,Away,1724.38952637,1645.42358398,78.96594239000001
78,39,2000-09-09,Ipswich,Aston Villa,1,2,L,15,5,5,2,9,13,5,3,1,3,0,0,,,,,,Home,1642.77636719,1724.73303223,-81.95666503999996
79,39,2000-09-09,Aston Villa,Ipswich,2,1,W,5,15,2,5,13,9,3,5,3,1,0,0,,,,,,Away,1724.73303223,1642.77636719,81.95666503999996
80,40,2000-09-09,Leeds,Coventry,0,0,D,11,9,5,1,14,15,6,6,2,2,0,0,,,,,,Away,1792.08312988,1633.89245605,158.19067382999992
81,40,2000-09-09,Coventry,Leeds,0,0,D,9,11,1,5,15,14,6,6,2,2,0,0,,,,,,Home,1633.89245605,1792.08312988,-158.19067382999992
82,41,2000-09-09,Bradford,Arsenal,1,1,D,9,18,5,11,17,13,4,10,0,2,0,0,,,,,,Home,1594.35388184,1873.39746094,-279.0435791
83,41,2000-09-09,Arsenal,Bradford,1,1,D,18,9,11,5,13,17,10,4,2,0,0,0,,,,,,Away,1873.39746094,1594.35388184,279.0435791
84,42,2000-09-09,Southampton,Leicester,0,1,L,9,17,5,6,9,6,6,10,0,0,0,0,,,,,,Away,1629.42651367,1704.01220703,-74.58569335999982
85,42,2000-09-09,Leicester,Southampton,1,0,W,17,9,6,5,6,9,10,6,0,0,0,0,,,,,,Home,1704.01220703,1629.42651367,74.58569335999982
86,43,2000-09-09,Chelsea,Newcastle,0,0,D,10,10,3,4,21,17,6,5,3,0,0,0,,,,,,Away,1792.44555664,1735.92077637,56.52478026999984
87,43,2000-09-09,Newcastle,Chelsea,0,0,D,10,10,4,3,17,21,5,6,0,3,0,0,,,,,,Home,1735.92077637,1792.44555664,-56.52478026999984
88,44,2000-09-09,Everton,Middlesbrough,2,1,W,12,9,9,5,5,16,7,7,0,3,0,0,,,,,,Away,1681.43725586,1686.31591797,-4.87866211000005
89,44,2000-09-09,Middlesbrough,Everton,1,2,L,9,12,5,9,16,5,7,7,3,0,0,0,,,,,,Home,1686.31591797,1681.43725586,4.87866211000005
90,45,2000-09-09,Sunderland,Man United,0,3,L,5,15,1,7,14,18,4,4,3,1,0,0,,,,,,Away,1700.91564941,1930.32202148,-229.4063720700001
91,45,2000-09-09,Man United,Sunderland,3,0,W,15,5,7,1,18,14,4,4,1,3,0,0,,,,,,Home,1930.32202148,1700.91564941,229.4063720700001
92,46,2000-09-09,Liverpool,Man City,3,2,W,14,9,8,7,17,17,9,4,3,4,0,0,,,,,,Home,1775.82897949,1592.39294434,183.43603514999995
93,46,2000-09-09,Man City,Liverpool,2,3,L,9,14,7,8,17,17,4,9,4,3,0,0,,,,,,Away,1592.39294434,1775.82897949,-183.43603514999995
94,47,2000-09-10,Charlton,Derby,2,2,D,10,12,6,6,12,17,11,4,1,3,0,0,,,,,,Away,1610.69104004,1635.57910156,-24.888061520000065
95,47,2000-09-10,Derby,Charlton,2,2,D,12,10,6,6,17,12,4,11,3,1,0,0,,,,,,Home,1635.57910156,1610.69104004,24.888061520000065
96,48,2000-09-11,West Ham,Tottenham,0,1,L,11,15,5,7,13,14,3,11,2,1,0,0,,,,,,Away,1677.92199707,1688.41247559,-10.490478519999897
97,48,2000-09-11,Tottenham,West Ham,1,0,W,15,11,7,5,14,13,11,3,1,2,0,0,,,,,,Home,1688.41247559,1677.92199707,10.490478519999897
98,49,2000-09-16,Coventry,Arsenal,1,2,L,6,18,2,13,13,5,4,8,2,1,0,0,,,,,,Away,1636.82421875,1877.7857666,-240.96154785
99,49,2000-09-16,Arsenal,Coventry,2,1,W,18,6,13,2,5,13,8,4,1,2,0,0,,,,,,Home,1877.7857666,1636.82421875,240.96154785
100,50,2000-09-16,Ipswich,Leeds,2,1,W,12,11,7,6,19,12,3,6,3,1,0,0,,,,,,Away,1635.49438477,1784.88635254,-149.39196777000006
101,50,2000-09-16,Leeds,Ipswich,1,2,L,11,12,6,7,12,19,6,3,1,3,0,0,,,,,,Home,1784.88635254,1635.49438477,149.39196777000006
102,51,2000-09-16,Man United,Everton,3,1,W,17,6,9,4,11,10,5,6,1,4,0,0,,,,,,Away,1936.64562988,1692.48400879,244.16162108999993
103,51,2000-09-16,Everton,Man United,1,3,L,6,17,4,9,10,11,6,5,4,1,0,0,,,,,,Home,1692.48400879,1936.64562988,-244.16162108999993
104,52,2000-09-16,Southampton,Newcastle,2,0,W,13,10,9,7,14,14,4,8,0,0,0,0,,,,,,Home,1626.21362305,1735.95568848,-109.74206542999991
105,52,2000-09-16,Newcastle,Southampton,0,2,L,10,13,7,9,14,14,8,4,0,0,0,0,,,,,,Away,1735.95568848,1626.21362305,109.74206542999991
106,53,2000-09-16,Sunderland,Derby,2,1,W,15,10,8,5,16,28,4,5,2,3,0,0,,,,,,Home,1698.69812012,1633.49438477,65.20373535000022
107,53,2000-09-16,Derby,Sunderland,1,2,L,10,15,5,8,28,16,5,4,3,2,0,0,,,,,,Away,1633.49438477,1698.69812012,-65.20373535000022
108,54,2000-09-16,Aston Villa,Bradford,2,0,W,12,8,7,4,8,12,5,6,0,2,0,0,,,,,,Home,1733.90307617,1600.29785156,133.60522461000005
109,54,2000-09-16,Bradford,Aston Villa,0,2,L,8,12,4,7,12,8,6,5,2,0,0,0,,,,,,Away,1600.29785156,1733.90307617,-133.60522461000005
110,55,2000-09-16,Charlton,Tottenham,1,0,W,9,10,5,5,8,10,7,5,0,0,0,0,,,,,,Home,1614.66369629,1694.94799805,-80.28430176000006
111,55,2000-09-16,Tottenham,Charlton,0,1,L,10,9,5,5,10,8,5,7,0,0,0,0,,,,,,Away,1694.94799805,1614.66369629,80.28430176000006
112,56,2000-09-17,Man City,Middlesbrough,1,1,D,11,4,4,2,15,11,9,3,2,5,0,0,,,,,,Home,1590.89233398,1677.15710449,-86.26477050999983
113,56,2000-09-17,Middlesbrough,Man City,1,1,D,4,11,2,4,11,15,3,9,5,2,0,0,,,,,,Away,1677.15710449,1590.89233398,86.26477050999983
114,57,2000-09-17,West Ham,Liverpool,1,1,D,15,7,4,2,5,13,9,0,0,2,0,0,,,,,,Home,1673.27453613,1781.45605469,-108.18151856000009
115,57,2000-09-17,Liverpool,West Ham,1,1,D,7,15,2,4,13,5,0,9,2,0,0,0,,,,,,Away,1781.45605469,1673.27453613,108.18151856000009
116,58,2000-09-17,Chelsea,Leicester,0,2,L,16,7,10,5,16,17,15,3,3,1,0,0,,,,,,Home,1794.86877441,1704.00378418,90.8649902300001
117,58,2000-09-17,Leicester,Chelsea,2,0,W,7,16,5,10,17,16,3,15,1,3,0,0,,,,,,Away,1704.00378418,1794.86877441,-90.8649902300001
118,59,2000-09-23,Middlesbrough,Aston Villa,1,1,D,12,15,5,7,7,14,5,5,3,0,0,0,,,,,,Home,1679.91699219,1741.35852051,-61.44152832000009
119,59,2000-09-23,Aston Villa,Middlesbrough,1,1,D,15,12,7,5,14,7,5,5,0,3,0,0,,,,,,Away,1741.35852051,1679.91699219,61.44152832000009
120,60,2000-09-23,Tottenham,Man City,0,0,D,18,7,5,2,10,14,5,4,0,2,0,0,,,,,,Home,1689.97521973,1593.78955078,96.18566895000004
121,60,2000-09-23,Man City,Tottenham,0,0,D,7,18,2,5,14,10,4,5,2,0,0,0,,,,,,Away,1593.78955078,1689.97521973,-96.18566895000004
