,id,isResult,side,datetime,result,h.id,h.title,h.short_title,a.id,a.title,a.short_title,goals.h,goals.a,xG.h,xG.a,forecast.w,forecast.d,forecast.l
31,5544,True,h,2015-04-20 19:45:00,w,207,Elche,ELC,140,Real Sociedad,SOC,1,0,0.635837,0.240527,0.3958461088711,0.48243608190327175,0.12171780922562789
32,5547,True,a,2015-04-25 17:00:00,l,143,Atletico Madrid,ATL,207,Elche,ELC,3,0,2.30439,1.10245,0.6428012070171861,0.1885875648107815,0.16861120374219568
33,5561,True,h,2015-04-29 21:00:00,w,207,Elche,ELC,139,Deportivo La Coruna,DEP,4,0,3.21848,0.734613,0.8482770340606924,0.09959894052610874,0.05212245321536834
34,5473,True,a,2015-05-03 20:00:00,w,137,Malaga,MAL,207,Elche,ELC,1,2,3.77025,1.57961,0.7690645367742374,0.11630818738786941,0.11461713413385703
35,5481,True,a,2015-05-10 16:00:00,l,154,Villarreal,VIL,207,Elche,ELC,1,0,1.53839,1.06985,0.4811454853547627,0.25491512282411244,0.26393939170420466
36,5486,True,h,2015-05-17 18:00:00,l,207,Elche,ELC,147,Athletic Club,ATH,2,3,1.28526,1.27624,0.36901591137694123,0.2662222192348243,0.36476186936932053
37,5495,True,a,2015-05-23 15:30:00,d,151,Levante,LEV,207,Elche,ELC,0,0,0.829026,2.09849,0.13707954120457688,0.1959014612362842,0.6670189902940887
0,18971,True,a,2022-08-15 19:30:00,l,153,Real Betis,BET,207,Elche,ELC,3,0,3.99664,0.29379,0.9569712463152733,0.035169123323650214,0.00783988733250932
1,18980,True,h,2022-08-22 18:00:00,d,207,Elche,ELC,208,Almeria,ALM,1,1,0.899007,0.969747,0.3203736358126111,0.3211724359675683,0.3584539282195593
2,18984,True,h,2022-08-27 15:30:00,l,207,Elche,ELC,140,Real Sociedad,SOC,0,1,1.23504,1.81171,0.26048864789134824,0.2303442135538981,0.5091671375023904
3,18997,True,a,2022-09-04 16:30:00,l,154,Villarreal,VIL,207,Elche,ELC,4,0,3.5829,0.21919,0.9485562152682939,0.043613632681080775,0.007824540234449194
